sample_id,feature1,feature2,label
149,-4.166,-2.765,1
150,-0.247,-1.599,0
151,0.535,-4.64,1
152,-2.188,-0.796,0
153,3.752,-2.256,1
154,-0.847,-1.814,0
155,-4.186,2.187,1
156,-1.699,-0.35,0
157,-3.464,3.107,1
158,-1.034,1.162,0
159,4.302,1.976,1
160,-1.993,-0.782,0
161,-1.753,4.971,1
162,-1.003,0.086,0
163,-2.03,4.553,1
164,-2.065,0.45,0
165,0.237,-5.141,1
166,-1.525,-1.283,0
167,4.647,-1.801,1
168,1.554,-1.11,0
169,5.261,-0.955,1
170,1.389,-0.51,0
171,4.405,2.954,1
172,-0.353,-2.727,0
173,-4.825,2.952,1
174,-1.623,-0.456,0
175,-4.444,0.067,1
176,-0.815,-1.689,0
177,4.49,0.695,1
178,-1.571,1.526,0
179,2.714,3.532,1
180,-2.061,0.952,0
181,-4.241,0.604,1
182,-0.821,1.647,0
183,1.406,-4.493,1
184,1.452,-1.927,0
185,-4.278,0.125,1
186,-0.776,2.124,0
187,3.825,2.103,1
188,1.982,-0.826,0
189,4.766,-1.58,1
190,1.012,1.121,0
191,-4.51,-1.057,1
192,-1.248,-2.411,0
193,-3.912,4.239,1
194,-0.569,0.905,0
195,4.856,1.187,1
196,-2.181,-0.191,0
197,3.904,-3.533,1
198,0.25,-2.39,0
199,4.477,-1.71,1
200,-1.427,0.947,0
201,-0.018,4.537,1
202,-0.8,1.432,0
203,-1.708,-3.926,1
204,0.258,-1.742,0
205,2.26,4.489,1
206,2.058,-0.397,0
207,3.29,3.702,1
208,-0.882,-1.619,0
209,-6.154,-0.271,1
210,-1.932,-0.919,0
211,3.415,4.682,1
212,0.677,-2.338,0
213,3.634,0.648,1
214,0.716,1.535,0
215,-0.507,4.86,1
216,1.348,0.8,0
217,-4.611,-3.425,1
218,-0.301,2.12,0
219,-1.524,-4.064,1
220,-1.391,-1.609,0
221,-3.627,3.368,1
222,-2.891,0.04,0
223,-4.465,1.811,1
224,-2.363,-0.067,0
225,-2.173,4.41,1
226,0.875,-1.52,0
227,3.152,4.58,1
228,1.8,-1.298,0
229,5.449,-0.989,1
230,-0.881,0.941,0
231,-0.656,5.25,1
232,0.709,1.647,0
233,0.776,4.945,1
234,2.298,-1.09,0
235,1.09,-4.704,1
236,1.167,-1.066,0
237,0.707,4.802,1
238,-0.831,-1.741,0
239,3.089,3.795,1
240,1.935,-0.24,0
241,4.867,-3.34,1
242,1.426,-0.848,0
243,3.987,-2.945,1
244,1.09,0.913,0
245,5.074,-1.274,1
246,0.718,2.679,0
247,-4.552,-0.232,1
248,-1.844,-0.634,0
249,-2.434,4.116,1
250,1.363,-1.862,0
251,3.042,-4.019,1
252,-0.981,1.774,0
253,2.582,-4.192,1
254,-3.066,0.035,0
255,4.607,2.849,1
256,-0.025,2.388,0
257,1.062,4.323,1
258,-1.593,0.028,0
259,1.451,-3.849,1
260,-0.286,1.381,0
261,5.311,1.384,1
262,0.6,1.386,0
263,-3.949,2.403,1
264,-1.823,-0.564,0
265,5.223,-1.791,1
266,1.836,-1.206,0
267,-4.388,3.04,1
268,-1.81,-0.805,0
269,-1.222,-4.148,1
270,-0.601,-1.287,0
271,-3.096,-4.7,1
272,-2.095,0.094,0
273,-2.75,3.556,1
274,2.057,-0.316,0
275,-4.619,1.908,1
276,2.097,-0.309,0
277,1.841,-4.055,1
278,0.013,-1.716,0
279,-2.866,4.581,1
280,0.442,-2.848,0
281,-3.482,-2.544,1
282,-2.098,-0.847,0
283,-0.053,4.956,1
284,2.642,0.294,0
285,-3.719,3.278,1
286,2.826,0.061,0
287,0.993,-4.835,1
288,-0.563,2.175,0
289,-4.665,-0.913,1
290,-0.757,0.477,0
291,2.729,-3.753,1
292,-2.429,-1.102,0
293,-1.718,5.501,1
294,0.704,1.879,0
295,5.104,0.345,1
296,-1.313,1.47,0
297,-2.962,-4.727,1
298,0.852,-1.423,0
299,-0.645,5.401,1
300,-0.248,2.24,0
