employee_id,age,monthly_income_k,years_at_company,job_satisfaction,attrition
184,47,61.7,0,5,No
185,34,54.2,5,5,No
186,29,79.6,2,2,No
187,33,75.6,4,4,No
188,35,75.3,6,2,No
189,29,53.6,10,3,No
190,30,88.7,14,5,No
191,40,64.5,2,3,No
192,35,69.8,9,3,No
193,40,54.6,0,3,No
194,22,60.9,6,2,No
195,39,68.1,5,3,Yes
196,29,75.9,1,3,No
197,22,81.8,7,3,No
198,22,43.1,10,3,No
199,45,49.3,8,3,No
200,21,79.3,4,4,No
201,28,20.5,4,4,Yes
202,35,51,10,3,No
203,21,60.5,0,1,No
204,23,46.9,5,4,No
205,37,43,0,4,No
206,23,64.9,8,1,Yes
207,28,24.2,7,3,No
208,35,15,0,2,No
209,37,16,11,3,No
210,45,77.5,5,3,No
211,30,62.4,9,2,No
212,28,50,12,4,No
213,47,34.1,9,3,No
214,34,79.3,4,2,Yes
215,28,58.9,3,3,No
216,25,58,6,3,No
217,28,37,3,4,No
218,35,83.6,2,2,No
219,44,54.1,0,3,No
220,42,75.5,4,4,No
221,28,80.6,6,3,No
222,42,91.8,7,5,No
223,36,33.6,0,1,Yes
224,36,71.4,2,3,No
225,38,83.9,4,4,No
226,46,44.6,3,4,No
227,23,26.6,5,2,No
228,32,26.3,9,3,No
229,30,60.3,3,5,No
230,41,85,5,4,No
231,34,73.2,8,3,No
232,35,81.6,3,1,No
233,34,94,3,4,No
234,34,43.4,6,4,No
235,40,47.7,0,5,No
236,35,17,11,3,No
237,38,58.2,15,4,No
238,34,32.4,8,2,No
239,30,62.9,4,3,No
240,45,32.3,7,1,No
241,34,53.7,6,3,No
242,28,29.6,3,4,No
243,25,15,4,5,No
244,35,91,10,3,No
245,39,36.1,12,3,No
246,29,58.4,3,3,No
247,21,75.8,5,3,No
248,41,44.3,12,2,No
249,27,20.9,3,4,No
250,43,33.8,8,1,No
251,47,68.8,8,2,No
252,45,32.3,1,4,No
253,31,39.6,8,3,No
254,26,64,4,4,No
255,38,38.6,8,4,No
256,37,54.7,2,4,No
257,35,50.4,0,1,No
258,31,78.5,1,1,No
259,38,15,6,3,No
260,36,15,3,3,No
261,31,56.4,6,2,No
262,44,15,10,4,No
263,22,60.9,3,4,Yes
264,41,15.5,2,3,No
265,29,42.4,2,2,Yes
266,40,81.3,7,5,No
267,32,40.4,7,4,No
268,31,29,4,5,No
269,31,40.4,0,5,No
270,24,68.7,7,3,No
271,33,51.8,4,2,No
272,33,67.6,3,1,No
273,36,46.8,1,2,No
274,34,68.4,5,3,No
275,31,32.8,1,3,No
276,40,49.9,0,4,No
277,30,45.4,7,5,No
278,23,101,1,2,Yes
279,24,66.7,1,4,No
280,31,46.9,4,4,No
281,30,65.3,7,2,No
282,44,32.1,9,3,No
283,34,68.3,0,3,No
284,37,66.1,6,2,No
285,22,68.1,0,3,No
286,29,82.3,8,5,No
287,31,72,10,4,No
288,25,86.4,6,2,No
289,22,39.2,5,3,No
290,26,35.8,8,3,No
291,22,57.3,2,5,No
292,34,71.7,5,5,No
293,41,66,2,3,No
294,35,76.6,2,2,No
295,27,60.7,10,3,No
296,36,59.6,7,5,No
297,32,37,5,3,No
298,32,38.4,6,4,No
299,53,52.3,9,3,No
300,25,44.2,5,2,No
