house_id,size_sqft,bedrooms,age_years,distance_to_city_km,price_lakhs
291,709,4,11,15.8,46.05
292,1819,3,25,6.1,81.17
293,432,2,9,14.9,30.04
294,1462,4,16,2.4,92.48
295,1033,4,9,6.8,68.99
296,1124,3,0,7.6,67.07
297,1148,2,8,0.5,72.78
298,1999,3,0,19.1,84.39
299,1101,5,16,20.4,60.87
300,1270,5,12,1.3,83.08
