student_id,math_score,science_score,english_score,attendance_pct,study_hours,extracurricular_hours
77,55.7,53,70.6,74.6,6.8,9.2
78,70.2,69,86.4,64.8,8,9.1
79,61.6,66.2,72.9,65,5.9,5.8
80,80.3,75.8,65.3,68.2,7.7,4.6
81,81,77.7,85.4,77.4,5.8,6.7
82,85.7,93.1,81.1,53.9,6,6.8
83,88.8,95.5,83.8,77.8,11.6,8.5
84,76.2,70.8,78.7,82.6,6.9,7.6
85,57.8,60.6,68.8,52.6,4.3,7.9
86,61.5,69,83,61.7,6.2,7.5
87,89.2,92.3,100,73.6,9.5,4.7
88,64.1,62,77.9,59.4,6.9,1.1
89,88,91.7,97.7,85.5,7.7,6.6
90,77.9,62.4,63,67.4,6.8,4.6
91,68.7,61.3,75.3,63.7,6.5,7.7
92,71.9,80.3,76.2,70.1,7.8,8.9
93,64,65.7,65.4,51.4,6.1,8.6
94,53.5,46.5,65.5,62.9,5.6,7.8
95,68.5,57.9,76.7,59.1,7.5,8.1
96,66.5,59.6,69.3,66.6,8.3,9.4
97,64.2,75.6,62.7,59.7,6.2,5.4
98,89.4,73.5,84.5,90.2,7.7,8.8
99,67.7,64,76,47.5,7.4,5.4
100,64,66.9,59,60.3,7.7,8.5
101,86.6,76.4,95,92.2,5.6,3.9
102,42.8,50.4,69.6,54.5,6.8,1.9
103,54.5,52.8,55.2,54.7,3.6,4.4
104,61.8,62.3,79.9,70,7.3,7.4
105,89,84.2,100,66.8,6.8,3.2
106,48.3,51.5,50.5,54.6,3.6,7.2
107,67.5,68.2,74.7,64.9,7,5.9
108,55.2,63.8,81.1,54.2,6.4,6.3
109,71.3,88.7,77.4,68.3,7.3,2.8
110,54.3,69.6,76.7,73.3,8.8,10.1
111,83.7,88.8,81.5,76.7,10.4,7.5
112,75.7,71.7,82.4,67.5,8.5,7.4
113,65,71.5,64.7,43.4,4.5,8.6
114,82.4,71,89.2,72.9,7.6,5.1
115,44.7,65.3,46.8,46,4.8,9.7
116,95.9,91.3,93.4,88.4,9.9,7.1
117,69.1,64.5,61.2,55.1,2.5,4.3
118,63.7,68.8,82,69.9,8.5,4.3
119,73.5,72.3,83.8,70.9,6.7,7.9
120,100,86.4,93.1,86.4,9.2,5.7
121,81.5,85.4,95.7,81.5,7.9,2.9
122,50.7,61.4,68.1,70.3,4.6,8.3
123,47.8,47.4,63.7,54.6,4.1,4.6
124,67.4,78.6,73.8,59.6,7.3,4.8
125,67.1,76.1,60.5,65.3,7.1,4.9
126,87,92.1,77,88.3,8.2,6.4
127,68.2,64.3,73.8,65.7,6.5,5.5
128,51.8,52.2,65.9,39,3.9,5.3
129,80.6,73.9,82.2,64.2,5.8,6
130,98.8,94,95.8,76.7,6.3,4.7
131,97.6,98.6,100,86.3,9.4,6
132,65.5,65.3,62.9,67.6,4.7,3.2
133,74.8,67,66.9,82.9,5.1,10.7
134,57.2,57.3,67.6,40.1,4.6,5.8
135,60.8,60.6,67.8,55.1,5.9,7.3
136,100,100,98.5,90.2,8.3,4.2
137,76,79.2,78.1,62.7,5.8,8.2
138,57.2,61.8,63.6,53,5.8,5.6
139,73.6,76.1,81.7,53.8,5.3,4.9
140,55.7,45,61.6,52.2,4,9.2
141,49.8,54.2,67.3,61.3,3.1,12.6
142,74.5,74.6,97.8,70,7.6,2.1
143,91.5,82.7,81.6,67.5,9.9,4.4
144,68.9,82.3,78.8,78.5,7,9.6
145,67.7,67.7,69.3,58.2,7.9,6.5
146,57.4,70.2,72.2,60,3.9,7.4
147,74,81.4,82.4,61.4,8.2,5.9
148,65.4,71.2,84.5,72.2,10.3,9.9
149,49.9,48.2,61.6,44.3,6.1,6.8
150,71.1,58.2,72.3,67.7,9,5.5
151,65,67.5,72.5,69.6,6,9.3
152,74.5,72.1,65,65.3,6.9,4.7
153,80.9,76.3,78.7,80.4,7.1,7.7
154,54.6,70.9,70.8,71.1,8,5.5
155,82.9,85.3,75.9,81.4,7.8,5.3
156,71,73.2,68.5,67.5,2.4,7
157,81.5,79.6,67.7,79.5,7.5,4.4
158,81.6,78.9,78.5,82.2,7,11.4
159,65.1,53.6,63.7,66.8,7.1,6.6
160,37.3,45,52.1,50.6,5.8,4.8
161,74.1,74.2,67.5,69.7,7.9,4.8
162,99.9,100,100,75.1,5.6,10.3
163,59.2,60,71.9,59.8,6.1,7.6
164,64.2,58.1,67.2,62.6,8.6,10.5
165,76.2,76.4,71.3,48.9,8.2,4.3
166,65.8,77.6,78,71.7,5.7,3.8
167,56.1,51.6,66.7,51.2,7.8,5.2
168,62.7,65.4,76.1,51.5,8.8,9.4
169,77.4,94.1,77.1,78.8,6.8,9.5
170,73.9,80.1,76.8,58.3,5.3,6.4
171,57.7,57.2,69.4,57.6,6.8,4.2
172,66.8,59.2,64.2,65.8,6.1,3.1
173,67.2,54.7,86.1,57.6,6.3,5.6
174,56.8,63.3,63.1,58.6,5.8,4.2
175,52.7,54,73.1,41.2,4.6,5
176,57.2,62.8,62.2,71.3,4.3,9.3
177,83,89.1,76.7,57.5,5.8,6.2
178,62.4,55.7,83.5,58.9,5.8,3.5
179,85.9,76.4,82,81.7,6,6.7
180,65.9,78.7,78,80.6,7.7,3.8
181,57.1,56.4,56.6,64.7,6.1,8.7
182,67.3,65.3,59.1,60.2,3.1,8.2
183,66.2,60.2,82.2,62.9,4.3,9.4
184,61.8,63.9,71.5,59.5,5.8,6
185,65.8,57.9,75.1,67.3,5.4,10
186,80.1,70.8,87.4,77.7,8,3.7
187,74.2,79.1,69.6,65.8,5.9,6.6
188,71.8,85.3,99.3,80.4,5.5,5.1
189,71.1,72.2,74.3,59.4,6.1,2.8
190,65.9,63.5,68.4,58.2,6.4,7.5
191,48.9,43.9,43.2,64.1,6.1,5.2
192,75.6,68.1,83.5,74.3,5.6,6.2
193,61.3,64.7,65.9,66.1,6.3,6.6
194,91.8,95.2,100,77.3,9.6,5.3
195,62.1,68.4,63.4,73.2,6.4,8.1
196,70.6,81.6,90.7,69.6,8.4,5.7
197,80.6,75,84.6,85.8,3.9,7
198,84.4,85.3,87.9,73,6.5,4.2
199,79.3,85.4,87.1,71.8,9.7,8.7
200,65.7,53.9,65.3,64.7,2.9,6
201,69.7,67.6,61.9,61.9,6.8,7.9
202,59.4,65.4,64.8,58,6.8,6.5
203,85.4,86.3,80.7,53.8,8.7,6
204,59.4,55.8,70,68.5,6.3,7
205,72.4,79.7,85.3,63.1,5.1,4.5
206,90.1,88.1,83,65.5,9.6,7.3
207,63.5,53.8,60.8,59.9,4.3,5.9
208,100,100,100,77.2,7.7,7.4
209,83.9,97.7,95.6,88.9,6.9,4.9
210,77.2,82.1,78,76.7,3.4,5.2
211,66.5,76.8,91,80.7,3.7,4.8
212,90.4,99.6,91.5,80.5,6.3,4.8
213,44.5,56.6,53.5,57.5,2.7,6.5
214,80.5,82.7,83.1,77.2,7.6,5.5
215,61.2,55.8,66.8,54,6.3,6.4
216,68.4,76.3,68.8,66.7,6.8,6.7
217,87.3,88.8,74.6,76.3,6.5,3.7
218,74.3,63.4,85.8,69.6,6,5
219,51.5,61.2,66.9,50.8,7.4,5.9
220,67.2,60.3,60.9,75.7,4.1,8.2
221,63.3,61.7,68.1,60.5,4.1,5.1
222,52.3,68,72.6,62.6,6.6,5
223,58.2,55.9,55.8,57.6,5.9,9.2
224,57,60.3,62.2,71.7,5.2,8.5
225,61.8,57.2,62.3,59.7,6.6,6.8
226,69.5,78.3,80.8,66.7,4.5,7.6
227,50.6,55.5,49.9,58.7,2.6,6.4
228,85.1,73.7,81.8,75.8,8,5.5
229,67.2,60,66.7,69,5.9,7
230,71.1,68.7,84.8,93.2,4.9,4.7
231,55.5,51.9,81.3,53.7,7.1,5.4
232,65,62,62.2,63.1,7.6,5.6
233,56.4,55,51.2,53,6.3,5.5
234,70.3,60.9,71.3,78.8,7.6,9.5
235,70.2,75.4,81.6,63,7.3,6.3
236,79.6,90.7,100,99.6,6.2,7.6
237,51.9,75.3,65.8,70.4,6.7,4
238,52.7,68.1,77.3,57.8,7,7.3
239,83.3,82.7,89.3,68.3,9.4,4.7
240,93.5,94.6,94.8,81.9,8.6,4.7
241,59.3,61.1,61.5,51.4,6.5,7.3
242,60,60.2,57.1,54.3,7.7,10.2
243,59.5,62.3,64,66.8,6.3,7.2
244,74.5,78.1,75.6,87.7,9.4,8.6
245,74.9,69.7,82.9,71.6,7.5,7.4
246,56.9,53.6,59.7,56.1,7.2,8.3
247,61.3,61.3,62.3,55.1,4.1,8.6
248,59.5,69.1,69.7,54.1,4.7,6.1
249,68.5,70.6,79.5,58.9,6.8,7
250,86.6,75.2,82.3,72.4,6.5,10.5
251,77.5,76.1,86.9,73.6,7.6,6.9
252,90.7,86.3,99.7,86.8,10.3,8.5
253,69.2,76.5,82.3,45.1,5,5.1
254,64.5,57.2,81.2,70,4.2,5
255,58,61.4,69.1,68.6,4.2,7.9
256,72.7,86,75.9,67.3,7.1,4.2
257,66.7,59.8,72.3,54.6,7.3,4.6
258,65.1,57.9,68.4,55.2,4.1,9.1
259,81.7,79.9,81.5,77.6,6.3,4.1
260,73.7,74.9,69.1,75.6,7.4,5
261,58.2,56.9,61.7,51.3,4.9,11.3
262,84.3,99.6,90,70.9,6.1,2.8
263,61.7,57.6,74.2,77.4,3.2,7.7
264,72.7,95.3,96.5,69.6,8.7,8.9
265,57.5,52.6,58.1,47.8,4.9,6.6
266,80,68.1,77.8,61.9,6.7,12.5
267,69.9,67.7,74.3,75.4,4.7,6.4
268,71.6,74,81.1,72.2,5.5,7.1
269,65.8,77.6,74.6,52.9,7.1,3.2
270,65.9,43,54.3,45.4,5.8,4.9
271,70.8,68.2,92.3,65.1,8.2,7.7
272,78.2,86.4,90.5,72.5,8.9,8.4
273,56.6,61.8,69.4,72.8,5,12.8
274,79.3,89.3,69.3,70.8,7.3,4.3
275,84.5,79.3,75.8,74.4,8.8,3.8
276,73.4,66.4,77,66.5,6.3,5.5
277,68.6,68.8,75,67.5,6,7.4
278,66.5,57.3,68,58.2,3.5,4.2
279,78.2,70.1,84.9,72.5,7,7.7
280,57.4,65.5,71.2,57.7,4.9,6.9
281,59.1,70,62.3,78.1,3.6,5.4
282,33.4,34.7,44.1,48.4,3.7,6.5
283,62.8,65.9,69.1,54.4,5.3,9.8
284,82.8,81.6,87.7,81,8.4,7.8
285,66.2,69.7,70.2,63.2,4.6,3.3
286,59.3,70.3,81.2,69.5,5.3,4.8
287,63.1,61.6,65.3,56.3,7.4,5.2
288,73.7,90.2,77.2,74.1,5.7,4.8
289,48.3,49,52.8,63.6,4.1,6.5
290,67.9,58.8,66.2,50.3,6.3,5.3
291,87.1,84.2,86.1,82.5,4.8,7.9
292,79.2,76,74.7,56.1,6.5,6.7
293,55,52,75.5,51.7,6.9,7.2
294,77.2,76.7,79.2,79,6.9,2.4
295,60.7,55.3,58.8,70.6,6.6,9.5
296,53,56.3,76.9,51.9,4,3.2
297,77.3,88.9,62.1,72.8,4.5,6.4
298,80.5,80.7,73,62.8,7.9,5
299,66.3,57.7,65.9,67.2,4,5.1
300,60.8,60.5,72.7,49.1,5,6.6
