customer_id,annual_income_k,spending_score
256,37.2,51
257,38.1,73.6
258,36.2,40.8
259,30.9,63
260,26.8,44.8
261,43.3,44.9
262,30.1,46.7
263,52.1,44.2
264,47.5,45.5
265,36.8,52.7
266,32.8,47.3
267,34.5,61.3
268,28.1,58.5
269,37.2,56.5
270,47.9,50.6
271,40.8,41
272,33.8,56.5
273,55.5,58.7
274,37.9,45.4
275,51.8,51.9
276,42.5,62.5
277,46.9,51.1
278,35,56.4
279,44.9,54.2
280,37.9,63.8
281,35.6,56.7
282,28.9,58.1
283,54.4,49.4
284,36.9,49.6
285,37.1,49.3
286,34.8,48.2
287,33,53.1
288,46.6,53.5
289,34.2,46.6
290,49.7,53.4
291,40.2,41.9
292,47.8,43.7
293,44.9,35.9
294,30.7,39.2
295,36.9,52.8
296,39.3,51
297,41.1,58
298,36.4,63.3
299,36,55.5
300,36.1,45.2
