applicant_id,income_lakhs,credit_score,debt_ratio,approved
111,9.34,785,0.01,1
112,5.94,733,0.49,0
113,8.06,670,0.38,0
114,12.14,623,0.15,1
115,5.43,652,0.28,0
116,7.96,531,0.35,0
117,6.84,681,0.41,0
118,4.38,803,0.39,0
119,11.04,523,0.38,0
120,9.86,647,0.25,1
121,6.27,708,0.32,1
122,19.01,558,0.34,1
123,6.9,514,0.19,0
124,5.97,622,0.43,0
125,3.41,621,0.38,0
126,5.55,571,0.2,1
127,10.37,687,0.48,1
128,12.04,693,0.55,1
129,8.15,821,0.44,0
130,3.86,682,0.3,1
131,9.51,674,0.71,0
132,9.8,663,0.44,0
133,9.06,728,0.2,1
134,10.46,625,0.63,0
135,5.19,401,0.41,0
136,9.93,622,0.4,0
137,14.31,526,0.39,1
138,7.89,606,0.49,0
139,6.16,729,0.25,1
140,3.88,590,0.39,0
141,1.88,667,0.4,1
142,11.56,832,0.37,1
143,8.42,584,0.47,0
144,6.7,712,0,1
145,9.27,564,0.21,0
146,11.2,751,0.18,1
147,9.55,555,0.57,0
148,2.62,564,0.51,0
149,11.69,578,0.02,1
150,8.02,659,0.11,1
151,18.21,497,0.41,1
152,3.73,568,0.13,0
153,11.65,708,0.36,1
154,10.01,741,0.14,1
155,7.16,634,0.39,0
156,8.8,582,0.38,0
157,6.7,732,0.14,0
158,13.51,701,0.3,1
159,7.72,495,0.71,0
160,7.45,487,0.57,0
161,7.7,738,0.55,0
162,13.06,634,0.36,1
163,6.97,761,0.35,0
164,11.44,726,0.42,1
165,4.76,625,0.48,1
166,9.31,649,0.28,1
167,15.59,533,0,1
168,12.04,611,0.41,1
169,6.19,760,0.43,0
170,7.37,586,0.57,0
171,1.35,512,0.23,0
172,9.9,701,0.41,0
173,9.38,542,0.54,1
174,4.17,736,0.53,1
175,11.61,607,0.44,0
176,6.6,785,0.51,0
177,9.94,769,0.27,1
178,3.94,829,0.6,0
179,8.53,643,0.45,0
180,15.81,817,0.31,1
181,3.12,735,0.29,0
182,11.41,552,0.35,0
183,9.39,730,0.25,1
184,10.08,569,0.38,0
185,5.33,752,0.28,0
186,4.5,606,0.02,1
187,9.19,849,0.31,1
188,7.68,673,0.22,0
189,5.91,647,0.16,1
190,6.93,556,0.28,1
191,9.83,708,0.34,1
192,7.78,746,0.09,1
193,7.23,538,0.3,0
194,9.61,677,0.58,1
195,1,700,0.3,0
196,7.63,587,0.48,1
197,5.17,598,0.45,1
198,8.6,586,0.52,0
199,11,806,0.32,1
200,3.12,664,0.39,0
201,8.9,661,0,1
202,4.26,669,0.19,0
203,7.77,705,0.73,0
204,6.36,569,0.29,0
205,10.31,654,0.17,1
206,3.24,745,0.28,1
207,13.86,706,0.12,1
208,4.56,724,0.06,0
209,7.45,649,0.43,0
210,3.76,569,0.58,0
211,3.94,616,0.2,0
212,9.27,718,0.37,1
213,5.89,533,0.62,0
214,6.09,712,0.21,0
215,8.48,704,0.59,0
216,2.77,685,0.38,0
217,5.79,563,0.4,0
218,12.47,654,0.26,0
219,11.32,687,0.18,0
220,5.47,735,0.32,1
221,9.83,627,0.08,1
222,12.42,698,0.43,1
223,8.84,625,0.4,1
224,11.32,737,0.39,1
225,8.04,597,0.2,0
226,3.99,713,0.3,1
227,5.77,464,0.42,0
228,13,607,0.35,0
229,9.32,765,0.35,1
230,5.8,627,0.55,0
231,2.76,846,0.39,1
232,7.69,658,0.37,0
233,6.71,641,0.26,1
234,6.07,618,0.42,0
235,7.68,675,0.56,0
236,6.37,597,0.59,0
237,15.84,682,0.18,1
238,14.86,595,0.31,1
239,10,846,0.33,1
240,5.49,691,0.17,0
241,5.73,729,0.42,0
242,2.15,604,0.27,0
243,7.38,474,0.47,0
244,2.7,564,0.52,0
245,10.23,587,0.48,0
246,11.03,729,0.58,0
247,4.19,601,0.36,0
248,3.12,584,0.17,0
249,15.89,588,0.33,1
250,2.22,803,0,0
251,13.49,545,0.3,1
252,9.63,708,0.77,0
253,9.29,713,0.11,0
254,3.54,661,0.68,0
255,9.63,710,0.45,1
256,6.12,656,0.45,0
257,2.41,573,0.45,0
258,6.09,575,0.09,0
259,1.56,721,0.46,0
260,4.33,718,0.34,1
261,10.65,644,0.18,1
262,7.15,764,0.37,0
263,4.12,677,0.24,0
264,6.26,500,0.4,0
265,10.7,662,0.13,1
266,10.5,609,0.55,1
267,7.2,646,0.16,0
268,3.94,709,0.31,0
269,8.19,649,0.1,1
270,8.14,735,0.38,0
271,6.79,770,0.18,1
272,8.78,558,0.32,0
273,1.4,669,0.51,0
274,10.95,515,0.37,0
275,15.83,750,0.33,1
276,4.58,763,0.58,0
277,10.44,716,0.23,0
278,5.82,729,0.15,0
279,6.59,787,0.08,1
280,4.12,674,0.54,0
281,11.24,678,0.27,1
282,15.46,693,0.15,1
283,5.46,788,0.29,1
284,12.78,641,0.28,1
285,6.43,604,0.35,1
286,8.39,631,0.21,0
287,6.79,760,0.46,1
288,3.66,531,0.46,0
289,9.96,599,0.06,1
290,12.34,685,0.28,1
291,8.49,712,0.27,1
292,4.29,702,0.57,0
293,10.76,476,0.25,0
294,4.8,695,0.19,0
295,6.3,649,0.23,0
296,6.2,744,0.25,0
297,7.21,718,0.19,1
298,8.5,575,0.58,0
299,15.58,640,0.25,1
300,14.85,760,0.39,1
