student_id,study_hours,attendance_pct,sleep_hours,previous_score,final_score
93,8.6,75,6.2,26.9,87.4
94,6.4,98.5,7.8,48.5,83.8
95,3.8,72.4,8.2,45.4,61.8
96,4.5,79.9,7.3,76.3,80.8
97,5.3,74.1,7.8,43.8,60.4
98,2.3,68.5,8.2,44.5,52.5
99,5.5,92.5,5,65.1,81.2
100,2.5,70.6,4.9,65.5,61.1
101,6.3,86.1,6.9,69.8,86.4
102,3.8,79.5,5.7,44.1,56.2
103,5.4,76.6,7,53.3,80.3
104,8.2,87.4,8.4,58.9,88.2
105,5.6,83.7,7.3,77.6,82.3
106,2.6,78.6,5.9,68.9,56.7
107,6.3,81.9,7.4,100,90.3
108,5.1,91.1,6.7,74.6,80.5
109,0.7,91.2,5.5,88.7,62.1
110,4,77,7.3,54.3,65.5
111,6.8,100,6.2,54.4,82
112,3.4,74.3,5.2,79.1,68.8
113,3.6,97.9,6.9,73.5,75.6
114,2.7,81.2,6.2,40.7,54
115,6.7,78.1,7.7,81.7,88.7
116,5.8,79.6,6.8,55.8,70.3
117,6,73.7,8.1,70.2,85.8
118,2,78,6.2,66.3,60.2
119,1.1,94.2,5.9,63,50.8
120,6,84.2,6.6,48.6,69.5
121,6.8,78,5.3,93,87.9
122,2.7,67.5,7.2,94.4,74.7
123,5.8,88.1,5.6,72.5,88.6
124,4.4,84.1,8.4,66.3,67.4
125,5.5,91.4,8.3,96.6,90.1
126,3.5,68.7,3.8,63.2,61.4
127,2.8,73,8.8,64.5,57.6
128,4.8,93.8,6.3,97,83.3
129,2.8,68.1,5.5,63,60.8
130,4.3,90.8,6.5,32.2,58.9
131,1.3,73.8,5.9,80.5,49.3
132,3.6,82.7,5.5,70.9,65.6
133,3.7,73.2,6.4,42.5,61.1
134,4.7,67.1,5.9,57.2,58.7
135,2.9,85.5,7.5,70.3,63
136,3.5,97,6.9,43.3,56.9
137,0.3,99.8,6.7,77.9,56.7
138,7.6,79.3,6.4,83.7,77.4
139,1.3,75.2,6.2,99.4,51.6
140,5.8,82.2,5.1,46.4,73.2
141,6.2,75.4,6.4,52,78.5
142,4.6,75,7.7,81.9,78
143,9.5,87.5,6.9,65.3,100
144,6,84.4,7.8,57.9,79.6
145,5.4,78.1,5.8,64.8,72
146,1.1,97.2,4.8,70.5,46.9
147,3.4,99.7,5.4,60.6,75.2
148,5,91.6,6.7,85.6,83.6
149,5.2,69.6,4.9,60.7,70.7
150,4.3,72,7.3,41.3,64
151,6.9,78.3,6,76.6,88.6
152,0.3,46.8,7.6,66.1,39.6
153,2.5,75.7,6.2,76.2,58.9
154,5.9,88,6.5,55.6,84.7
155,6.4,93.9,6.7,73.8,91.9
156,2.9,87,6.7,39.7,54
157,4.4,78.4,7.7,72.6,74.1
158,8.2,65.5,8.4,99.8,90.2
159,3.8,87.1,7.4,32.4,65.3
160,5.4,84.8,5.6,63.8,72.5
161,2.7,69,8.5,67.2,60
162,5.6,64.5,8.1,60,76.7
163,5.9,91,7.4,69.2,81.9
164,3.1,91.3,5.6,48.6,53.2
165,6.8,63.6,5.7,51.6,80.9
166,6.2,89.2,5.1,30.4,85.3
167,4.6,87.3,10.2,86.6,82
168,6,73.5,7.8,84.4,85.8
169,2,89,7.1,51,48.3
170,3.6,71.5,4.9,64.9,65.4
171,3.8,100,7.2,64.1,74.9
172,6.2,85.7,7.3,90.2,84.8
173,2.2,82.3,6.5,77.1,54.9
174,4.6,74.4,4.8,61.2,72.8
175,5.2,91,6.4,40.4,70.6
176,3.1,85.1,3.8,81.8,67.9
177,4.2,78.2,7.8,61.7,68.2
178,5.8,88,5.7,49.1,80.3
179,4.9,59.1,6.9,74.8,67.3
180,5.7,90.8,6.3,60.9,80.8
181,5.4,75.3,8.9,71.2,77.2
182,2.5,71.9,5.6,54.8,60.6
183,1.6,65.5,7.1,76.4,51.6
184,3.4,100,6.7,54.2,71.2
185,5,71.8,6.8,74.3,84.9
186,3.6,73.3,6.3,63.3,65
187,4.3,96.1,7.4,66.1,68.9
188,2.1,95,5.3,71,58.3
189,8.2,71.1,7.6,56,80.2
190,4.9,80.7,6.3,44,70.7
191,6.2,80.1,7.6,36.8,79.8
192,4.4,76,5.6,44.7,68.3
193,6.2,80.9,8.1,72.2,86.4
194,5.5,82.8,7.2,72.6,80.1
195,4.6,67,7.7,50.1,68.2
196,0,79.8,5.4,67.6,43
197,4.4,100,5.7,73.6,76.2
198,4.9,69.9,8,55.5,70.3
199,6.4,85.3,7.5,85.1,83.3
200,1.9,87.4,5.1,73.4,52.9
201,0.8,84.8,6,61.7,42.6
202,0.6,97.9,6.9,52.6,48.2
203,3.1,84.2,6.8,44.7,58.6
204,2.3,72.3,5.8,76.4,50
205,4.3,100,8.2,66.3,75
206,6.3,100,7,61.6,90.4
207,4.7,90.5,5.6,73.4,84.3
208,5.6,96.8,5.1,65.5,83.6
209,3.9,70.3,6.3,77.3,72.4
210,2.1,89.1,6.4,90.9,62.3
211,4.8,76.4,7.3,62.9,64.7
212,2.3,72.8,8.1,68.8,49.4
213,4.6,87.1,7,100,79.1
214,0.8,79.5,8.4,69.9,52.7
215,4.6,75.9,6.2,85.7,72.3
216,5,97.5,7.8,54.9,74.7
217,0.9,91,6,64,45.2
218,8.8,100,7.1,51.8,99.9
219,6.1,84.4,6.6,72.1,80.9
220,5.1,67.7,7.9,28.6,63.3
221,4.2,72.6,6.8,69,72.9
222,8.5,86.8,5.8,70.5,97.3
223,1.3,73.9,4.8,70.9,44.7
224,5.7,75.2,5.1,86.3,87.7
225,9.8,82.6,7.6,87.6,100
226,5,80.7,8.3,55.3,68.7
227,0.8,74.4,9,81.8,43
228,6.2,79.5,9.2,59.3,68.5
229,3.1,84.1,5.1,53.9,56.8
230,3.9,72,7,69.6,76.2
231,0,81.3,8,40.7,35.9
232,5,89.5,4.9,83.2,82.5
233,7.3,76.3,4.8,60.8,79.4
234,3.3,88.4,5.6,65.8,61.1
235,8.7,85.6,7.1,65.6,100
236,3.6,75.9,8.7,65.1,63.7
237,8.8,77.6,7.6,75.6,100
238,8.6,74.6,6.6,50,92.6
239,2.1,100,7.1,65.3,61
240,6.2,72.2,7.4,67.5,75.9
241,5.2,72.8,6.4,67.2,74.7
242,9.7,75.8,8.2,42.3,93.3
243,7.4,71.9,5.2,46.2,80.7
244,5.2,88.5,8.8,57.9,73.2
245,4.1,65.6,8,41.1,63.7
246,5.6,82.6,7.5,64.4,75.1
247,4,90.7,8.9,62.1,66.8
248,2.7,91.6,6.1,56.9,64
249,2.4,73.6,5.1,65.6,48
250,5.9,92.4,5.3,44.5,79.7
251,6.2,66.2,6.4,30,67.8
252,8.1,88,6.8,71.3,94.9
253,3.7,88.7,7.6,62.4,75.8
254,6.5,78.5,7.3,63.3,83.1
255,4.7,81.6,7.2,89.9,72
256,3.1,83.9,4.9,80.6,65
257,2.7,80.2,7.8,60.5,59.3
258,3.7,95.8,7.4,72.7,77.4
259,2.7,86.1,5.2,42.5,49.1
260,6.7,83.8,6,74.2,89
261,0,83.2,5.8,83.7,48
262,0.2,88.7,6.7,56.2,45.8
263,8,92.2,8.6,72.5,93.5
264,3.4,77.9,5.2,80.1,62.5
265,5,73.4,6.8,73.9,76.7
266,5.2,84.3,7.4,99.3,86.8
267,4,74.5,6.8,74.1,62.5
268,4.3,76.8,7.4,72.9,69.3
269,7.6,75.8,5.5,68.3,87.7
270,4.1,73.5,6.7,45.3,67.5
271,2.3,73.8,7.8,62.9,48.9
272,3.9,79.8,4.9,69.4,82.1
273,6.8,75.8,8.1,54.6,73.3
274,4.6,90.2,5.6,64.3,75.7
275,4.1,83,5.1,76,69
276,5.3,85.2,6.6,77.1,74.3
277,3.9,82.1,5.9,58.5,80.9
278,4.2,92.3,6.2,74.1,76.8
279,4.8,79,5.5,43.8,54.5
280,7.4,70.7,6.3,57.6,80.6
281,1.5,86.8,4.7,65.3,56.1
282,4.5,89.1,4.8,78.2,84.5
283,2.5,86.4,7.9,84.6,63.6
284,7.2,76.6,6,86.8,97.1
285,6.5,93.1,5.2,49.2,84.9
286,7.2,83.1,8.5,80.8,98.6
287,6.1,84.7,6.7,74.2,95.5
288,3.2,62.5,6.6,72.9,57
289,2.6,97.9,8.7,54.9,56.3
290,5.3,92.9,9.2,57.7,69.7
291,2.2,89.3,6.2,22.5,53.8
292,5.5,86.4,8.6,56.2,70
293,3.9,74.5,6.5,71.9,78.8
294,6.2,77.1,5.6,67.4,87.5
295,5.2,77,5.5,43,69.2
296,3.2,71.6,6.6,67.5,60.3
297,3.9,95.2,5.2,58.5,73.9
298,6.3,81.1,6.3,46.1,77.2
299,6.3,88.1,6.7,35.2,76.2
300,1.2,67.6,7.7,55.1,42.1
